0,1,2,3,4,5,6,7,8,9,SourceFile,TableIndex,10,11,12
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"948,26","25.746.452,75","23.746.452,75",2025-03-21-Volume%20Giornaliero%20potabile.pdf,0,,"+ 0,0%",
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,90","25.361.006,50","23.361.006,50",2025-05-31-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,1%","-21.413,69"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"945,67","22.973.381,19","20.973.381,19",2025-02-11-Volume%20Giornaliero%20potabile.pdf,0,,,"+ 1,6%"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,66","25.104.042,35","23.104.042,35",2025-05-5-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,1%",
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"946,49","23.851.342,07","21.851.342,07",2025-02-15-Volume%20Giornaliero%20potabile_0.pdf,0,,"+ 0,5%",
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"939,14","16.112.920,80","14.112.920,80",2025-09-21-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,2%","-49.563,60"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,49","24.922.026,07","22.922.026,07",2025-05-12-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,1%",
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"946,41","23.756.687,35","21.756.687,35",2025-07-9-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,2%","-62.534,20"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,53","24.964.853,43","22.964.853,43",2025-06-11-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,1%","-42.827,36"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,68","25.125.456,00","23.125.456,00",2025-06-07-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,1%","-32.120,55"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"939,19","16.162.484,40","14.162.484,40",2025-09-20-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,2%","-59.619,10"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"945,27","22.545.107,59","20.545.107,59",2025-07-30-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,2%","-64.241,04"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"939,25","16.222.103,50","14.222.103,50",2025-09-19-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,3%","-89.585,10"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"941,32","18.338.366,63","16.338.366,63",2025-08-19-Volume%20Giornaliero%20Potabile.pdf,0,,"- 1,0%","-314.817,76"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,38","24.804.250,83","22.804.250,83",2025-06-25-Volume%20Giornaliero%20Potabile.pdf,0,(*),"+ 0,0%","0,00"
